datetime,nb_total_net_buy,nb_total_buy,nb_total_sell
2015-08-24,81.48819999999999,103.4831,21.994899999999998
2015-08-25,79.81439999999999,101.5567,21.7423
2015-08-26,73.9709,102.4147,28.4438
2015-08-27,47.127700000000004,67.204,20.0763
2015-08-28,-25.491999999999997,28.6833,54.1753
2015-08-31,-6.4947,21.460700000000003,27.9554
2015-09-01,-12.890999999999998,22.904600000000002,35.7956
2015-09-02,-30.4361,24.610599999999998,55.0467
2015-09-07,-1.7682,21.629499999999997,23.3977
2015-09-08,43.788599999999995,58.6536,14.865
2015-09-09,-29.8587,29.1152,58.9739
2015-09-10,29.083000000000002,40.037,10.954
2015-09-11,-0.6945,12.566300000000002,13.2608
2015-09-14,-7.204,12.446800000000001,19.6508
2015-09-15,10.3902,22.355999999999998,11.9658
2015-09-16,17.2541,27.9734,10.7193
2015-09-17,3.4549000000000003,17.0259,13.571
2015-09-18,23.8367,39.5326,15.6959
2015-09-21,5.494299999999999,19.6023,14.107999999999999
2015-09-22,-1.3232,19.1397,20.4629
2015-09-23,-13.0712,13.384500000000001,26.4557
2015-09-24,-9.4042,13.8034,23.207600000000003
2015-09-29,-15.3764,11.2454,26.621799999999997
2015-09-30,3.2662,10.6281,7.3619
2015-10-08,37.3463,53.5984,16.2521
2015-10-09,17.0427,23.0836,6.040900000000001
2015-10-12,-1.9865000000000002,27.893800000000002,29.880300000000002
2015-10-13,-4.1034,18.4609,22.5643
2015-10-14,-9.118,8.827,17.945
2015-10-15,3.5141000000000004,21.980999999999998,18.4669
2015-10-16,-7.0339,24.8143,31.848200000000002
2015-10-19,-2.5970999999999997,21.156799999999997,23.753899999999998
2015-10-22,-13.763699999999998,24.5069,38.2706
2015-10-23,-10.4818,20.4313,30.9131
2015-10-26,-12.2336,18.8236,31.057199999999998
2015-10-27,-2.2697,24.3594,26.629099999999998
2015-10-28,-11.3421,18.4163,29.7584
2015-10-29,-15.7742,11.9536,27.727800000000002
2015-10-30,-12.0101,13.828199999999999,25.8383
2015-11-02,-10.6042,12.4273,23.0315
2015-11-03,-9.648200000000001,13.4093,23.0575
2015-11-04,-23.061799999999998,17.7376,40.7994
2015-11-05,-39.4646,25.009,64.47359999999999
2015-11-06,-17.0212,24.385900000000003,41.4071
2015-11-09,-14.4373,32.3191,46.756400000000006
2015-11-10,-27.1369,26.1925,53.32939999999999
2015-11-11,-27.920900000000003,17.5334,45.4543
2015-11-12,-16.2195,15.513499999999999,31.733
2015-11-13,-2.9679,19.1581,22.125999999999998
2015-11-16,-1.8013,19.9177,21.719
2015-11-17,-4.3578,21.194699999999997,25.5525
2015-11-18,-2.1648,18.0819,20.2467
2015-11-19,-2.6557999999999997,15.4231,18.0789
2015-11-20,-1.6353,18.8291,20.4644
2015-11-23,-2.4533,13.373800000000001,15.8271
2015-11-24,1.541,14.581700000000001,13.0407
2015-11-25,-1.127,14.643099999999999,15.7701
2015-11-26,4.5078,16.771900000000002,12.264100000000001
2015-11-27,1.5917,17.1931,15.601400000000002
2015-11-30,31.5765,48.422,16.8455
2015-12-01,6.2839,18.811500000000002,12.5276
2015-12-02,-5.9244,19.8324,25.7568
2015-12-03,-10.901800000000001,15.030999999999999,25.9328
2015-12-04,-6.4671,12.659600000000001,19.1267
2015-12-07,-1.7904,11.1298,12.9202
2015-12-08,-6.6967,9.5539,16.2506
2015-12-09,1.6425999999999998,13.2276,11.585
2015-12-10,-4.8474,12.4517,17.2991
