instrument,datetime,nb_hold_pct,nb_hold_mv,nb_hold_pct_chg,nb_net_buy_ratio
SH605333,2024-08-16,,,,
SH600970,2024-08-16,,,,
SH688298,2024-08-16,,,,
SH600971,2024-08-16,,,,
SZ001308,2024-08-16,,,,
SZ002371,2024-08-16,,,,
SZ002897,2024-08-16,,,,
SZ300699,2024-08-16,,,,
SZ300781,2024-08-16,,,,
SH688475,2024-08-16,,,,
SZ300341,2024-08-16,,,,
SH600605,2024-08-16,,,,
SZ002932,2024-08-16,,,,
SZ300811,2024-08-16,,,,
SH688400,2024-08-16,,,,
SH600851,2024-08-16,,,,
SZ002362,2024-08-16,,,,
SZ002907,2024-08-16,,,,
SH688007,2024-08-16,,,,
SZ300415,2024-08-16,,,,
SZ300856,2024-08-16,,,,
SH603338,2024-08-16,,,,
SH603444,2024-08-16,,,,
SZ301510,2024-08-16,,,,
SZ301191,2024-08-16,,,,
SZ300319,2024-08-16,,,,
SZ002636,2024-08-16,,,,
SH600928,2024-08-16,,,,
SH600010,2024-08-16,,,,
SZ300110,2024-08-16,,,,
SZ300276,2024-08-16,,,,
SH603065,2024-08-16,,,,
SZ002376,2024-08-16,,,,
SZ301096,2024-08-16,,,,
SH688160,2024-08-16,,,,
SH688536,2024-08-16,,,,
SH688012,2024-08-16,,,,
SZ002738,2024-08-16,,,,
SZ002467,2024-08-16,,,,
SH688249,2024-08-16,,,,
SZ300660,2024-08-16,,,,
SH603530,2024-08-16,,,,
SH688180,2024-08-16,,,,
SZ300925,2024-08-16,,,,
SH600372,2024-08-16,,,,
SH600873,2024-08-16,,,,
SZ300870,2024-08-16,,,,
SZ300620,2024-08-16,,,,
SH600587,2024-08-16,,,,
SZ000034,2024-08-16,,,,
SZ300659,2024-08-16,,,,
SZ300687,2024-08-16,,,,
SH601997,2024-08-16,,,,
SZ300802,2024-08-16,,,,
SH688519,2024-08-16,,,,
SH600713,2024-08-16,,,,
SZ002338,2024-08-16,,,,
SZ300913,2024-08-16,,,,
SH688222,2024-08-16,,,,
SZ000650,2024-08-16,,,,
SZ002937,2024-08-16,,,,
SZ002261,2024-08-16,,,,
SH688300,2024-08-16,,,,
SH603590,2024-08-16,,,,
SZ002446,2024-08-16,,,,
SH603322,2024-08-16,,,,
SH603639,2024-08-16,,,,
SH603256,2024-08-16,,,,
SZ000676,2024-08-16,,,,
SH688252,2024-08-16,,,,
SH600803,2024-08-16,,,,
SZ000636,2024-08-16,,,,
SZ300653,2024-08-16,,,,
SH688277,2024-08-16,,,,
SZ000016,2024-08-16,,,,
SZ002993,2024-08-16,,,,
SZ002559,2024-08-16,,,,
SZ002745,2024-08-16,,,,
SZ300598,2024-08-16,,,,
SZ002737,2024-08-16,,,,
SZ301330,2024-08-16,,,,
SZ002829,2024-08-16,,,,
SH600894,2024-08-16,,,,
SZ301389,2024-08-16,,,,
SH603408,2024-08-16,,,,
SZ300463,2024-08-16,,,,
SH600163,2024-08-16,,,,
SZ300741,2024-08-16,,,,
SH688238,2024-08-16,,,,
SH601058,2024-08-16,,,,
SH688048,2024-08-16,,,,
SZ003006,2024-08-16,,,,
SH688621,2024-08-16,,,,
SZ001965,2024-08-16,,,,
SZ002643,2024-08-16,,,,
SZ002867,2024-08-16,,,,
SH600353,2024-08-16,,,,
SH600198,2024-08-16,,,,
SH603833,2024-08-16,,,,
SZ002657,2024-08-16,,,,
SZ000045,2024-08-16,,,,
SZ300979,2024-08-16,,,,
SZ300170,2024-08-16,,,,
SH688686,2024-08-16,,,,
SZ301366,2024-08-16,,,,
SZ002626,2024-08-16,,,,
SZ002970,2024-08-16,,,,
SZ002437,2024-08-16,,,,
SH600575,2024-08-16,,,,
SH688085,2024-08-16,,,,
SZ300872,2024-08-16,,,,
SH688601,2024-08-16,,,,
SH601018,2024-08-16,,,,
SZ002022,2024-08-16,,,,
SZ003031,2024-08-16,,,,
SH600033,2024-08-16,,,,
SH600765,2024-08-16,,,,
SZ002512,2024-08-16,,,,
SZ300634,2024-08-16,,,,
SH600811,2024-08-16,,,,
SH603171,2024-08-16,,,,
SZ300772,2024-08-16,,,,
SZ002237,2024-08-16,,,,
SZ301393,2024-08-16,,,,
SZ000617,2024-08-16,,,,
SH601800,2024-08-16,,,,
SH688443,2024-08-16,,,,
SZ300492,2024-08-16,,,,
SZ002675,2024-08-16,,,,
